/home/abaddon/abaddon7.py:186: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  self.client = mqtt.Client(client_id=self.node_id)
[*] Global bypass patch applied to 'requests' module.
[2025-10-19 21:25:19] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:25:21] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:25:24] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:25:26] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:25:28] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:25:30] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:25:34] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:25:35] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:25:37] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:25:40] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:25:42] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:25:44] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:25:47] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:25:49] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:25:51] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:25:54] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:25:56] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:25:57] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:01] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:02] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:04] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:07] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:09] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:11] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:14] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:16] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:18] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:21] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:22] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:24] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:27] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:29] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:31] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:34] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:36] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:38] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:41] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:43] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:44] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:50] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:53] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:54] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:57] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:26:59] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:01] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:04] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:06] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:08] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:11] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:13] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:15] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:17] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:20] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:21] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:24] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:27:26] [+] Conectado ao Broker MQTT com código de resultado: 0
